,event,sys_clock,logical_clock,code,queue_length,msg,process
0,INTERNAL EVENT,1,1,3,0,,2
1,RECEIVE MESSAGE,2,2,-1,1,1.0,2
2,RECEIVE MESSAGE,3,3,-1,1,1.0,2
3,RECEIVE MESSAGE,4,4,-1,0,2.0,2
4,SENT to 2056,5,5,2,0,,2
5,SENT to 4056,5,5,2,0,,2
6,INTERNAL EVENT,6,6,3,0,,2
7,SENT to 2056,7,7,0,0,,2
8,RECEIVE MESSAGE,8,8,-1,0,7.0,2
9,RECEIVE MESSAGE,9,9,-1,0,8.0,2
10,SENT to 2056,10,10,0,1,,2
11,RECEIVE MESSAGE,11,11,-1,1,10.0,2
12,RECEIVE MESSAGE,12,12,-1,1,10.0,2
13,RECEIVE MESSAGE,13,13,-1,1,11.0,2
14,RECEIVE MESSAGE,14,14,-1,0,12.0,2
15,RECEIVE MESSAGE,15,15,-1,1,14.0,2
16,RECEIVE MESSAGE,16,16,-1,1,14.0,2
17,RECEIVE MESSAGE,17,17,-1,0,15.0,2
18,RECEIVE MESSAGE,18,18,-1,0,17.0,2
19,RECEIVE MESSAGE,19,19,-1,0,18.0,2
20,RECEIVE MESSAGE,20,20,-1,0,19.0,2
21,SENT to 4056,21,21,1,1,,2
22,RECEIVE MESSAGE,22,22,-1,0,21.0,2
23,RECEIVE MESSAGE,23,23,-1,0,22.0,2
24,RECEIVE MESSAGE,24,24,-1,0,23.0,2
25,RECEIVE MESSAGE,25,25,-1,0,24.0,2
26,SENT to 4056,26,26,1,0,,2
27,INTERNAL EVENT,27,27,3,0,,2
28,RECEIVE MESSAGE,28,28,-1,0,27.0,2
29,RECEIVE MESSAGE,29,29,-1,0,28.0,2
30,RECEIVE MESSAGE,30,30,-1,0,29.0,2
31,RECEIVE MESSAGE,31,31,-1,0,30.0,2
32,RECEIVE MESSAGE,32,32,-1,0,31.0,2
33,SENT to 4056,33,33,1,0,,2
34,RECEIVE MESSAGE,34,34,-1,0,33.0,2
35,SENT to 2056,35,35,2,0,,2
36,SENT to 4056,35,35,2,0,,2
37,SENT to 2056,36,36,2,0,,2
38,SENT to 4056,36,36,2,0,,2
39,SENT to 2056,37,37,0,0,,2
40,SENT to 2056,38,38,2,0,,2
41,SENT to 4056,38,38,2,0,,2
42,SENT to 2056,39,39,2,0,,2
43,SENT to 4056,39,39,2,0,,2
44,SENT to 2056,40,40,0,0,,2
45,SENT to 2056,41,41,0,0,,2
46,SENT to 2056,42,42,0,0,,2
47,INTERNAL EVENT,43,43,3,0,,2
48,RECEIVE MESSAGE,44,44,-1,0,43.0,2
49,RECEIVE MESSAGE,45,45,-1,0,44.0,2
50,RECEIVE MESSAGE,46,46,-1,0,45.0,2
51,SENT to 2056,47,47,2,0,,2
52,SENT to 4056,47,47,2,0,,2
53,RECEIVE MESSAGE,48,48,-1,0,47.0,2
54,SENT to 2056,49,49,2,0,,2
55,SENT to 4056,49,49,2,0,,2
56,SENT to 2056,50,50,0,0,,2
57,SENT to 2056,51,51,2,0,,2
58,SENT to 4056,51,51,2,0,,2
59,RECEIVE MESSAGE,52,52,-1,0,51.0,2
60,SENT to 4056,53,53,1,0,,2
61,RECEIVE MESSAGE,54,54,-1,0,53.0,2
62,SENT to 4056,55,55,2,0,,2
63,SENT to 2056,55,55,2,0,,2
64,RECEIVE MESSAGE,56,56,-1,1,55.0,2
65,RECEIVE MESSAGE,57,57,-1,0,55.0,2
66,RECEIVE MESSAGE,58,58,-1,0,57.0,2
67,INTERNAL EVENT,59,59,3,0,,2
68,RECEIVE MESSAGE,60,60,-1,0,59.0,2
69,SENT to 4056,61,61,2,0,,2
70,SENT to 2056,61,61,2,0,,2
71,SENT to 4056,62,62,2,0,,2
72,SENT to 2056,62,62,2,0,,2
73,SENT to 4056,63,63,1,0,,2
74,SENT to 2056,64,64,0,0,,2
75,SENT to 2056,65,65,0,1,,2
76,RECEIVE MESSAGE,66,66,-1,0,65.0,2
77,SENT to 2056,67,67,0,2,,2
78,RECEIVE MESSAGE,68,68,-1,1,67.0,2
79,RECEIVE MESSAGE,69,69,-1,1,67.0,2
80,RECEIVE MESSAGE,70,70,-1,1,68.0,2
81,RECEIVE MESSAGE,71,71,-1,2,69.0,2
82,RECEIVE MESSAGE,72,72,-1,1,70.0,2
83,RECEIVE MESSAGE,73,73,-1,0,70.0,2
84,INTERNAL EVENT,74,74,3,0,,2
85,INTERNAL EVENT,75,75,3,0,,2
86,RECEIVE MESSAGE,76,76,-1,0,75.0,2
87,SENT to 4056,77,77,1,0,,2
88,INTERNAL EVENT,78,78,3,0,,2
89,SENT to 2056,79,79,0,0,,2
90,SENT to 2056,80,80,0,0,,2
91,SENT to 4056,81,81,1,0,,2
92,INTERNAL EVENT,82,82,3,0,,2
93,SENT to 4056,83,83,1,0,,2
94,RECEIVE MESSAGE,84,84,-1,0,83.0,2
95,INTERNAL EVENT,85,85,3,0,,2
96,SENT to 4056,86,86,1,1,,2
97,RECEIVE MESSAGE,87,87,-1,0,86.0,2
98,SENT to 4056,88,88,2,0,,2
99,SENT to 2056,88,88,2,1,,2
100,RECEIVE MESSAGE,89,89,-1,0,88.0,2
101,SENT to 2056,90,90,0,0,,2
102,RECEIVE MESSAGE,91,91,-1,0,90.0,2
103,SENT to 4056,92,92,1,0,,2
104,RECEIVE MESSAGE,93,93,-1,0,92.0,2
105,SENT to 4056,94,94,2,0,,2
106,SENT to 2056,94,94,2,0,,2
107,RECEIVE MESSAGE,95,95,-1,0,94.0,2
108,SENT to 2056,96,96,0,0,,2
109,RECEIVE MESSAGE,97,97,-1,0,96.0,2
110,SENT to 2056,98,98,0,0,,2
111,INTERNAL EVENT,99,99,3,0,,2
112,RECEIVE MESSAGE,100,100,-1,0,99.0,2
113,RECEIVE MESSAGE,101,101,-1,0,100.0,2
114,RECEIVE MESSAGE,102,102,-1,0,101.0,2
115,SENT to 4056,103,103,2,0,,2
116,SENT to 2056,103,103,2,0,,2
117,RECEIVE MESSAGE,104,104,-1,0,103.0,2
118,INTERNAL EVENT,105,105,3,0,,2
119,RECEIVE MESSAGE,106,106,-1,0,105.0,2
120,INTERNAL EVENT,107,107,3,0,,2
121,RECEIVE MESSAGE,108,108,-1,0,107.0,2
122,RECEIVE MESSAGE,109,109,-1,0,108.0,2
123,SENT to 2056,110,110,0,0,,2
124,RECEIVE MESSAGE,111,111,-1,0,110.0,2
125,SENT to 4056,112,112,2,0,,2
126,SENT to 2056,112,112,2,0,,2
127,RECEIVE MESSAGE,113,113,-1,1,112.0,2
128,RECEIVE MESSAGE,114,114,-1,0,112.0,2
129,SENT to 4056,115,115,1,0,,2
130,SENT to 4056,116,116,1,0,,2
131,RECEIVE MESSAGE,117,117,-1,0,116.0,2
