,event,sys_clock,logical_clock,code,queue_length,msg,process
0,SENT to 2056,1,1,2,0,,3
1,SENT to 3056,1,1,2,0,,3
2,SENT to 2056,2,2,2,0,,3
3,SENT to 3056,2,2,2,0,,3
4,SENT to 3056,3,3,1,0,,3
5,SENT to 2056,4,4,0,0,,3
6,RECEIVE MESSAGE,5,5,-1,0,4.0,3
7,SENT to 3056,6,6,1,0,,3
8,RECEIVE MESSAGE,7,7,-1,1,6.0,3
9,RECEIVE MESSAGE,8,8,-1,0,6.0,3
10,INTERNAL EVENT,9,9,4,0,,3
11,SENT to 3056,10,10,1,0,,3
12,SENT to 3056,11,11,1,0,,3
13,SENT to 3056,12,12,1,0,,3
14,SENT to 2056,13,13,2,0,,3
15,SENT to 3056,13,13,2,0,,3
16,INTERNAL EVENT,14,14,5,0,,3
17,SENT to 3056,15,15,1,0,,3
18,RECEIVE MESSAGE,16,16,-1,0,15.0,3
19,SENT to 3056,17,17,1,0,,3
20,RECEIVE MESSAGE,18,18,-1,0,17.0,3
21,RECEIVE MESSAGE,19,19,-1,0,18.0,3
22,SENT to 2056,20,20,2,0,,3
23,SENT to 3056,20,20,2,0,,3
24,INTERNAL EVENT,21,21,5,0,,3
25,SENT to 2056,22,22,0,0,,3
26,RECEIVE MESSAGE,23,23,-1,0,22.0,3
27,RECEIVE MESSAGE,24,24,-1,0,23.0,3
28,SENT to 2056,25,25,0,0,,3
29,RECEIVE MESSAGE,26,26,-1,0,25.0,3
30,RECEIVE MESSAGE,27,27,-1,0,26.0,3
31,INTERNAL EVENT,28,28,3,0,,3
32,RECEIVE MESSAGE,29,29,-1,0,28.0,3
33,INTERNAL EVENT,30,30,4,0,,3
34,SENT to 3056,31,31,2,0,,3
35,SENT to 2056,31,31,2,0,,3
36,SENT to 3056,32,32,1,0,,3
37,INTERNAL EVENT,33,33,4,0,,3
38,INTERNAL EVENT,34,34,3,0,,3
39,RECEIVE MESSAGE,35,35,-1,0,34.0,3
40,SENT to 2056,36,36,0,0,,3
41,INTERNAL EVENT,37,37,3,0,,3
42,SENT to 2056,38,38,2,0,,3
43,SENT to 3056,38,38,2,0,,3
44,SENT to 2056,39,39,2,0,,3
45,SENT to 3056,39,39,2,0,,3
46,INTERNAL EVENT,40,40,5,0,,3
47,INTERNAL EVENT,41,41,5,0,,3
48,INTERNAL EVENT,42,42,3,0,,3
49,INTERNAL EVENT,43,43,3,0,,3
50,INTERNAL EVENT,44,44,4,0,,3
51,RECEIVE MESSAGE,45,45,-1,0,44.0,3
52,RECEIVE MESSAGE,46,46,-1,0,45.0,3
53,RECEIVE MESSAGE,47,47,-1,0,46.0,3
54,SENT to 2056,48,48,0,1,,3
55,RECEIVE MESSAGE,49,49,-1,0,48.0,3
56,RECEIVE MESSAGE,50,50,-1,0,49.0,3
57,RECEIVE MESSAGE,51,51,-1,0,50.0,3
58,INTERNAL EVENT,52,52,5,0,,3
59,RECEIVE MESSAGE,53,53,-1,0,52.0,3
60,RECEIVE MESSAGE,54,54,-1,0,53.0,3
61,INTERNAL EVENT,55,55,5,0,,3
62,SENT to 3056,56,56,1,0,,3
63,SENT to 2056,57,57,2,0,,3
64,SENT to 3056,57,57,2,0,,3
65,INTERNAL EVENT,58,58,5,0,,3
66,SENT to 3056,59,59,1,0,,3
67,SENT to 2056,60,60,0,0,,3
