,event,sys_clock,logical_clock,code,queue_length,msg,process
0,INTERNAL EVENT,1,1,7,0,,2
1,RECEIVE MESSAGE,2,2,-1,0,2.0,2
2,RECEIVE MESSAGE,3,3,-1,0,4.0,2
3,INTERNAL EVENT,4,5,9,0,,2
4,INTERNAL EVENT,5,6,8,0,,2
5,SENT to 4056,6,7,1,0,,2
6,INTERNAL EVENT,7,8,4,0,,2
7,INTERNAL EVENT,8,9,6,0,,2
8,RECEIVE MESSAGE,9,10,-1,0,16.0,2
9,INTERNAL EVENT,10,17,8,0,,2
10,INTERNAL EVENT,11,18,4,0,,2
11,INTERNAL EVENT,12,19,4,0,,2
12,RECEIVE MESSAGE,13,20,-1,0,24.0,2
13,INTERNAL EVENT,14,25,5,0,,2
14,RECEIVE MESSAGE,15,26,-1,0,17.0,2
15,SENT to 2056,16,27,0,0,,2
16,INTERNAL EVENT,17,28,8,0,,2
17,RECEIVE MESSAGE,18,29,-1,0,34.0,2
18,INTERNAL EVENT,19,35,4,0,,2
19,RECEIVE MESSAGE,20,36,-1,0,38.0,2
20,SENT to 2056,21,39,0,0,,2
21,RECEIVE MESSAGE,22,40,-1,1,39.0,2
22,RECEIVE MESSAGE,23,41,-1,0,42.0,2
23,RECEIVE MESSAGE,24,43,-1,1,46.0,2
24,RECEIVE MESSAGE,25,47,-1,1,47.0,2
25,RECEIVE MESSAGE,26,48,-1,1,49.0,2
26,RECEIVE MESSAGE,27,50,-1,1,50.0,2
27,RECEIVE MESSAGE,28,51,-1,1,53.0,2
28,RECEIVE MESSAGE,29,54,-1,0,49.0,2
29,RECEIVE MESSAGE,30,55,-1,0,51.0,2
30,RECEIVE MESSAGE,31,56,-1,0,60.0,2
31,INTERNAL EVENT,32,61,7,0,,2
32,RECEIVE MESSAGE,33,62,-1,0,64.0,2
33,RECEIVE MESSAGE,34,65,-1,0,67.0,2
34,INTERNAL EVENT,35,68,8,0,,2
35,INTERNAL EVENT,36,69,6,0,,2
36,RECEIVE MESSAGE,37,70,-1,0,72.0,2
37,SENT to 2056,38,73,0,0,,2
38,RECEIVE MESSAGE,39,74,-1,0,73.0,2
39,SENT to 2056,40,75,2,0,,2
40,SENT to 4056,40,75,2,0,,2
41,INTERNAL EVENT,41,76,7,0,,2
42,RECEIVE MESSAGE,42,77,-1,0,82.0,2
43,RECEIVE MESSAGE,43,83,-1,0,84.0,2
44,SENT to 2056,44,85,0,0,,2
45,SENT to 4056,45,86,1,0,,2
46,INTERNAL EVENT,46,87,7,0,,2
47,RECEIVE MESSAGE,47,88,-1,0,92.0,2
48,RECEIVE MESSAGE,48,93,-1,1,93.0,2
49,RECEIVE MESSAGE,49,94,-1,0,95.0,2
50,RECEIVE MESSAGE,50,96,-1,0,99.0,2
51,INTERNAL EVENT,51,100,5,0,,2
52,RECEIVE MESSAGE,52,101,-1,0,103.0,2
53,SENT to 2056,53,104,0,0,,2
54,INTERNAL EVENT,54,105,9,0,,2
55,INTERNAL EVENT,55,106,7,0,,2
56,INTERNAL EVENT,56,107,3,0,,2
57,INTERNAL EVENT,57,108,5,0,,2
58,RECEIVE MESSAGE,58,109,-1,0,115.0,2
59,INTERNAL EVENT,59,116,3,0,,2
60,SENT to 4056,60,117,1,0,,2
61,RECEIVE MESSAGE,61,118,-1,0,117.0,2
62,INTERNAL EVENT,62,119,5,0,,2
63,SENT to 4056,63,120,1,0,,2
64,SENT to 2056,64,121,0,1,,2
65,RECEIVE MESSAGE,65,122,-1,0,128.0,2
66,SENT to 4056,66,129,2,0,,2
67,SENT to 2056,66,129,2,0,,2
68,SENT to 2056,67,130,0,0,,2
69,RECEIVE MESSAGE,68,131,-1,0,134.0,2
70,RECEIVE MESSAGE,69,135,-1,0,136.0,2
71,RECEIVE MESSAGE,70,137,-1,0,138.0,2
72,SENT to 2056,71,139,0,0,,2
73,INTERNAL EVENT,72,140,4,0,,2
74,INTERNAL EVENT,73,141,5,0,,2
75,SENT to 4056,74,142,2,0,,2
76,SENT to 2056,74,142,2,0,,2
77,SENT to 4056,75,143,2,0,,2
78,SENT to 2056,75,143,2,0,,2
79,INTERNAL EVENT,76,144,4,0,,2
80,INTERNAL EVENT,77,145,7,0,,2
81,RECEIVE MESSAGE,78,146,-1,0,153.0,2
82,RECEIVE MESSAGE,79,154,-1,0,155.0,2
83,SENT to 4056,80,156,2,0,,2
84,SENT to 2056,80,156,2,0,,2
85,RECEIVE MESSAGE,81,157,-1,0,156.0,2
86,INTERNAL EVENT,82,158,4,0,,2
87,INTERNAL EVENT,83,159,8,0,,2
88,SENT to 2056,84,160,2,0,,2
89,SENT to 4056,84,160,2,0,,2
90,INTERNAL EVENT,85,161,3,0,,2
91,INTERNAL EVENT,86,162,6,0,,2
92,SENT to 2056,87,163,2,0,,2
93,SENT to 4056,87,163,2,0,,2
94,INTERNAL EVENT,88,164,6,0,,2
95,INTERNAL EVENT,89,165,9,0,,2
96,RECEIVE MESSAGE,90,166,-1,0,177.0,2
97,RECEIVE MESSAGE,91,178,-1,0,180.0,2
98,RECEIVE MESSAGE,92,181,-1,1,181.0,2
99,RECEIVE MESSAGE,93,182,-1,0,183.0,2
100,RECEIVE MESSAGE,94,184,-1,0,182.0,2
101,INTERNAL EVENT,95,185,7,0,,2
102,RECEIVE MESSAGE,96,186,-1,0,184.0,2
103,INTERNAL EVENT,97,187,8,0,,2
104,SENT to 2056,98,188,0,0,,2
105,INTERNAL EVENT,99,189,9,0,,2
106,RECEIVE MESSAGE,100,190,-1,1,198.0,2
107,RECEIVE MESSAGE,101,199,-1,0,199.0,2
108,RECEIVE MESSAGE,102,200,-1,0,200.0,2
109,RECEIVE MESSAGE,103,201,-1,1,204.0,2
110,RECEIVE MESSAGE,104,205,-1,0,205.0,2
111,RECEIVE MESSAGE,105,206,-1,0,206.0,2
112,RECEIVE MESSAGE,106,207,-1,1,210.0,2
113,RECEIVE MESSAGE,107,211,-1,1,207.0,2
114,RECEIVE MESSAGE,108,212,-1,0,208.0,2
115,INTERNAL EVENT,109,213,3,0,,2
116,INTERNAL EVENT,110,214,9,0,,2
117,RECEIVE MESSAGE,111,215,-1,0,217.0,2
118,INTERNAL EVENT,112,218,5,0,,2
119,RECEIVE MESSAGE,113,219,-1,1,223.0,2
120,RECEIVE MESSAGE,114,224,-1,1,220.0,2
121,RECEIVE MESSAGE,115,225,-1,0,226.0,2
122,INTERNAL EVENT,116,227,5,0,,2
123,RECEIVE MESSAGE,117,228,-1,0,231.0,2
124,INTERNAL EVENT,118,232,7,0,,2
125,RECEIVE MESSAGE,119,233,-1,0,232.0,2
126,INTERNAL EVENT,120,234,9,0,,2
127,RECEIVE MESSAGE,121,235,-1,1,239.0,2
128,RECEIVE MESSAGE,122,240,-1,1,240.0,2
129,RECEIVE MESSAGE,123,241,-1,1,241.0,2
130,RECEIVE MESSAGE,124,242,-1,2,244.0,2
131,RECEIVE MESSAGE,125,245,-1,1,245.0,2
132,RECEIVE MESSAGE,126,246,-1,1,246.0,2
133,RECEIVE MESSAGE,127,247,-1,0,250.0,2
134,RECEIVE MESSAGE,128,251,-1,0,253.0,2
135,RECEIVE MESSAGE,129,254,-1,0,255.0,2
136,INTERNAL EVENT,130,256,7,0,,2
137,RECEIVE MESSAGE,131,257,-1,0,260.0,2
138,INTERNAL EVENT,132,261,6,0,,2
139,SENT to 2056,133,262,0,1,,2
140,RECEIVE MESSAGE,134,263,-1,0,266.0,2
141,RECEIVE MESSAGE,135,267,-1,0,268.0,2
142,INTERNAL EVENT,136,269,8,0,,2
143,INTERNAL EVENT,137,270,5,0,,2
144,RECEIVE MESSAGE,138,271,-1,1,274.0,2
145,RECEIVE MESSAGE,139,275,-1,0,269.0,2
