,event,sys_clock,logical_clock,code,queue_length,msg,process
0,SENT to 2056,1,1,2,1,,3
1,SENT to 4056,1,1,2,1,,3
2,RECEIVE MESSAGE,2,2,-1,1,1.0,3
3,RECEIVE MESSAGE,3,3,-1,0,1.0,3
4,RECEIVE MESSAGE,4,4,-1,0,3.0,3
5,SENT to 4056,5,5,2,0,,3
6,SENT to 2056,5,5,2,0,,3
7,RECEIVE MESSAGE,6,6,-1,1,5.0,3
8,RECEIVE MESSAGE,7,7,-1,0,5.0,3
9,RECEIVE MESSAGE,8,8,-1,0,7.0,3
10,RECEIVE MESSAGE,9,9,-1,0,8.0,3
11,SENT to 2056,10,10,0,0,,3
12,INTERNAL EVENT,11,11,3,0,,3
13,SENT to 2056,12,12,0,0,,3
14,SENT to 2056,13,13,0,0,,3
15,SENT to 4056,14,14,1,0,,3
16,RECEIVE MESSAGE,15,15,-1,0,14.0,3
17,SENT to 4056,16,16,1,0,,3
18,SENT to 2056,17,17,0,0,,3
19,INTERNAL EVENT,18,18,3,0,,3
20,INTERNAL EVENT,19,19,3,0,,3
21,RECEIVE MESSAGE,20,20,-1,0,19.0,3
22,RECEIVE MESSAGE,21,21,-1,0,20.0,3
23,SENT to 4056,22,22,1,0,,3
24,RECEIVE MESSAGE,23,23,-1,0,22.0,3
25,SENT to 2056,24,24,0,0,,3
26,SENT to 2056,25,25,0,0,,3
27,SENT to 2056,26,26,0,0,,3
28,SENT to 2056,27,27,2,0,,3
29,SENT to 4056,27,27,2,0,,3
30,SENT to 4056,28,28,1,0,,3
31,SENT to 4056,29,29,1,0,,3
32,SENT to 2056,30,30,0,0,,3
33,SENT to 2056,31,31,2,0,,3
34,SENT to 4056,31,31,2,0,,3
35,RECEIVE MESSAGE,32,32,-1,0,31.0,3
36,SENT to 2056,33,33,2,0,,3
37,SENT to 4056,33,33,2,0,,3
38,SENT to 2056,34,34,0,0,,3
39,SENT to 2056,35,35,0,1,,3
40,RECEIVE MESSAGE,36,36,-1,0,35.0,3
41,SENT to 4056,37,37,1,0,,3
42,SENT to 4056,38,38,1,0,,3
43,SENT to 4056,39,39,1,0,,3
44,INTERNAL EVENT,40,40,3,0,,3
45,SENT to 2056,41,41,2,1,,3
46,SENT to 4056,41,41,2,1,,3
47,RECEIVE MESSAGE,42,42,-1,0,41.0,3
48,SENT to 2056,43,43,2,1,,3
49,SENT to 4056,43,43,2,1,,3
50,RECEIVE MESSAGE,44,44,-1,0,43.0,3
51,SENT to 2056,45,45,2,0,,3
52,SENT to 4056,45,45,2,0,,3
53,SENT to 2056,46,46,0,0,,3
54,SENT to 2056,47,47,0,0,,3
55,SENT to 2056,48,48,2,0,,3
56,SENT to 4056,48,48,2,0,,3
57,SENT to 4056,49,49,1,0,,3
58,SENT to 4056,50,50,1,0,,3
59,SENT to 2056,51,51,0,1,,3
60,RECEIVE MESSAGE,52,52,-1,0,51.0,3
61,SENT to 2056,53,53,2,1,,3
62,SENT to 4056,53,53,2,1,,3
63,RECEIVE MESSAGE,54,54,-1,0,53.0,3
64,SENT to 4056,55,55,1,0,,3
65,INTERNAL EVENT,56,56,3,0,,3
66,SENT to 4056,57,57,1,0,,3
67,SENT to 4056,58,58,2,0,,3
68,SENT to 2056,58,58,2,0,,3
69,SENT to 2056,59,59,0,0,,3
70,SENT to 4056,60,60,1,0,,3
71,SENT to 4056,61,61,1,0,,3
72,INTERNAL EVENT,62,62,3,0,,3
73,RECEIVE MESSAGE,63,63,-1,0,62.0,3
74,RECEIVE MESSAGE,64,64,-1,0,63.0,3
75,SENT to 2056,65,65,2,1,,3
76,SENT to 4056,65,65,2,1,,3
77,RECEIVE MESSAGE,66,66,-1,0,65.0,3
78,SENT to 2056,67,67,2,0,,3
79,SENT to 4056,67,67,2,0,,3
80,SENT to 2056,68,68,2,0,,3
81,SENT to 4056,68,68,2,0,,3
82,SENT to 2056,69,69,0,0,,3
83,SENT to 4056,70,70,2,0,,3
84,SENT to 2056,70,70,2,0,,3
85,SENT to 4056,71,71,1,0,,3
86,SENT to 2056,72,72,0,0,,3
87,SENT to 2056,73,73,2,1,,3
88,SENT to 4056,73,73,2,1,,3
89,RECEIVE MESSAGE,74,74,-1,0,73.0,3
90,SENT to 2056,75,75,0,1,,3
91,RECEIVE MESSAGE,76,76,-1,0,75.0,3
92,INTERNAL EVENT,77,77,3,0,,3
93,RECEIVE MESSAGE,78,78,-1,0,77.0,3
94,RECEIVE MESSAGE,79,79,-1,0,78.0,3
95,RECEIVE MESSAGE,80,80,-1,0,79.0,3
96,INTERNAL EVENT,81,81,3,0,,3
97,INTERNAL EVENT,82,82,3,0,,3
98,SENT to 4056,83,83,1,1,,3
99,RECEIVE MESSAGE,84,84,-1,0,83.0,3
100,INTERNAL EVENT,85,85,3,0,,3
101,RECEIVE MESSAGE,86,86,-1,0,85.0,3
102,INTERNAL EVENT,87,87,3,0,,3
103,RECEIVE MESSAGE,88,88,-1,1,87.0,3
104,RECEIVE MESSAGE,89,89,-1,1,87.0,3
105,RECEIVE MESSAGE,90,90,-1,0,88.0,3
106,RECEIVE MESSAGE,91,91,-1,0,90.0,3
107,RECEIVE MESSAGE,92,92,-1,0,91.0,3
108,SENT to 2056,93,93,2,0,,3
109,SENT to 4056,93,93,2,0,,3
110,SENT to 4056,94,94,1,0,,3
111,SENT to 4056,95,95,1,1,,3
112,RECEIVE MESSAGE,96,96,-1,0,95.0,3
113,SENT to 2056,97,97,0,0,,3
114,SENT to 4056,98,98,1,0,,3
115,SENT to 4056,99,99,1,0,,3
116,SENT to 4056,100,100,1,0,,3
117,SENT to 2056,101,101,0,0,,3
118,SENT to 2056,102,102,0,0,,3
119,SENT to 4056,103,103,1,0,,3
120,SENT to 4056,104,104,2,0,,3
121,SENT to 2056,104,104,2,0,,3
122,SENT to 2056,105,105,0,0,,3
123,SENT to 2056,106,106,2,0,,3
124,SENT to 4056,106,106,2,0,,3
125,SENT to 4056,107,107,1,0,,3
126,INTERNAL EVENT,108,108,3,0,,3
127,INTERNAL EVENT,109,109,3,0,,3
128,RECEIVE MESSAGE,110,110,-1,0,109.0,3
129,RECEIVE MESSAGE,111,111,-1,0,110.0,3
130,SENT to 2056,112,112,0,0,,3
131,SENT to 4056,113,113,1,0,,3
132,SENT to 4056,114,114,1,0,,3
133,SENT to 2056,115,115,0,1,,3
134,RECEIVE MESSAGE,116,116,-1,0,115.0,3
135,SENT to 2056,117,117,0,0,,3
136,SENT to 2056,118,118,2,0,,3
137,SENT to 4056,118,118,2,0,,3
138,SENT to 2056,119,119,2,0,,3
139,SENT to 4056,119,119,2,0,,3
140,INTERNAL EVENT,120,120,3,0,,3
141,SENT to 2056,121,121,0,1,,3
142,RECEIVE MESSAGE,122,122,-1,0,121.0,3
143,SENT to 4056,123,123,1,1,,3
144,RECEIVE MESSAGE,124,124,-1,0,123.0,3
145,RECEIVE MESSAGE,125,125,-1,0,124.0,3
146,RECEIVE MESSAGE,126,126,-1,0,125.0,3
147,INTERNAL EVENT,127,127,3,0,,3
148,INTERNAL EVENT,128,128,3,0,,3
149,RECEIVE MESSAGE,129,129,-1,1,128.0,3
150,RECEIVE MESSAGE,130,130,-1,0,128.0,3
151,SENT to 2056,131,131,0,1,,3
152,RECEIVE MESSAGE,132,132,-1,0,131.0,3
153,SENT to 2056,133,133,0,1,,3
154,RECEIVE MESSAGE,134,134,-1,0,133.0,3
155,SENT to 4056,135,135,1,1,,3
156,RECEIVE MESSAGE,136,136,-1,0,135.0,3
157,SENT to 4056,137,137,1,0,,3
158,SENT to 4056,138,138,1,0,,3
159,SENT to 4056,139,139,2,0,,3
160,SENT to 2056,139,139,2,0,,3
161,SENT to 4056,140,140,1,0,,3
162,SENT to 4056,141,141,1,0,,3
163,SENT to 2056,142,142,0,0,,3
164,INTERNAL EVENT,143,143,3,0,,3
165,SENT to 2056,144,144,0,1,,3
166,RECEIVE MESSAGE,145,145,-1,0,144.0,3
167,SENT to 4056,146,146,1,1,,3
168,RECEIVE MESSAGE,147,147,-1,0,146.0,3
169,SENT to 4056,148,148,2,0,,3
170,SENT to 2056,148,148,2,0,,3
171,INTERNAL EVENT,149,149,3,0,,3
172,SENT to 4056,150,150,1,0,,3
173,SENT to 4056,151,151,2,1,,3
174,SENT to 2056,151,151,2,1,,3
175,RECEIVE MESSAGE,152,152,-1,0,151.0,3
176,SENT to 4056,153,153,1,1,,3
177,RECEIVE MESSAGE,154,154,-1,0,153.0,3
178,INTERNAL EVENT,155,155,3,0,,3
179,RECEIVE MESSAGE,156,156,-1,0,155.0,3
180,RECEIVE MESSAGE,157,157,-1,0,156.0,3
181,SENT to 4056,158,158,1,0,,3
182,SENT to 4056,159,159,1,1,,3
183,RECEIVE MESSAGE,160,160,-1,0,159.0,3
184,RECEIVE MESSAGE,161,161,-1,0,160.0,3
185,SENT to 2056,162,162,0,0,,3
186,SENT to 2056,163,163,0,0,,3
187,SENT to 4056,164,164,2,0,,3
188,SENT to 2056,164,164,2,0,,3
189,SENT to 4056,165,165,1,0,,3
190,INTERNAL EVENT,166,166,3,0,,3
191,SENT to 2056,167,167,0,2,,3
192,RECEIVE MESSAGE,168,168,-1,1,167.0,3
193,RECEIVE MESSAGE,169,169,-1,1,167.0,3
194,RECEIVE MESSAGE,170,170,-1,0,168.0,3
195,SENT to 4056,171,171,1,1,,3
196,RECEIVE MESSAGE,172,172,-1,0,171.0,3
197,SENT to 2056,173,173,2,1,,3
198,SENT to 4056,173,173,2,1,,3
199,RECEIVE MESSAGE,174,174,-1,0,173.0,3
200,INTERNAL EVENT,175,175,3,0,,3
201,INTERNAL EVENT,176,176,3,0,,3
202,RECEIVE MESSAGE,177,177,-1,0,176.0,3
203,RECEIVE MESSAGE,178,178,-1,0,177.0,3
204,SENT to 2056,179,179,2,2,,3
205,SENT to 4056,179,179,2,2,,3
206,RECEIVE MESSAGE,180,180,-1,1,179.0,3
207,RECEIVE MESSAGE,181,181,-1,0,179.0,3
208,RECEIVE MESSAGE,182,182,-1,0,181.0,3
209,RECEIVE MESSAGE,183,183,-1,1,182.0,3
210,RECEIVE MESSAGE,184,184,-1,1,182.0,3
211,RECEIVE MESSAGE,185,185,-1,2,183.0,3
212,RECEIVE MESSAGE,186,186,-1,2,184.0,3
213,RECEIVE MESSAGE,187,187,-1,2,184.0,3
214,RECEIVE MESSAGE,188,188,-1,2,185.0,3
215,RECEIVE MESSAGE,189,189,-1,1,186.0,3
216,RECEIVE MESSAGE,190,190,-1,1,187.0,3
217,RECEIVE MESSAGE,191,191,-1,1,189.0,3
218,RECEIVE MESSAGE,192,192,-1,0,190.0,3
219,SENT to 2056,193,193,2,1,,3
220,SENT to 4056,193,193,2,1,,3
221,RECEIVE MESSAGE,194,194,-1,0,193.0,3
