,event,sys_clock,logical_clock,code,queue_length,msg,process
0,RECEIVE MESSAGE,1,1,-1,0,2.0,1
1,RECEIVE MESSAGE,2,3,-1,1,1.0,1
2,RECEIVE MESSAGE,3,4,-1,0,5.0,1
3,RECEIVE MESSAGE,4,6,-1,1,9.0,1
4,RECEIVE MESSAGE,5,10,-1,0,11.0,1
5,RECEIVE MESSAGE,6,12,-1,1,16.0,1
6,RECEIVE MESSAGE,7,17,-1,2,17.0,1
7,RECEIVE MESSAGE,8,18,-1,3,18.0,1
8,RECEIVE MESSAGE,9,19,-1,4,19.0,1
9,RECEIVE MESSAGE,10,20,-1,5,22.0,1
10,RECEIVE MESSAGE,11,23,-1,4,23.0,1
11,RECEIVE MESSAGE,12,24,-1,3,24.0,1
12,RECEIVE MESSAGE,13,25,-1,4,25.0,1
13,RECEIVE MESSAGE,14,26,-1,5,27.0,1
14,RECEIVE MESSAGE,15,28,-1,4,29.0,1
15,RECEIVE MESSAGE,16,30,-1,3,36.0,1
16,RECEIVE MESSAGE,17,37,-1,3,38.0,1
17,RECEIVE MESSAGE,18,39,-1,3,39.0,1
18,RECEIVE MESSAGE,19,40,-1,3,41.0,1
19,RECEIVE MESSAGE,20,42,-1,2,50.0,1
20,RECEIVE MESSAGE,21,51,-1,3,51.0,1
21,RECEIVE MESSAGE,22,52,-1,2,55.0,1
22,RECEIVE MESSAGE,23,56,-1,2,59.0,1
23,RECEIVE MESSAGE,24,60,-1,1,62.0,1
24,RECEIVE MESSAGE,25,63,-1,0,67.0,1
25,RECEIVE MESSAGE,26,68,-1,1,75.0,1
26,RECEIVE MESSAGE,27,76,-1,1,76.0,1
27,RECEIVE MESSAGE,28,77,-1,1,79.0,1
28,RECEIVE MESSAGE,29,80,-1,1,82.0,1
29,RECEIVE MESSAGE,30,83,-1,0,86.0,1
30,INTERNAL EVENT,31,87,4,0,,1
31,RECEIVE MESSAGE,32,88,-1,1,92.0,1
32,RECEIVE MESSAGE,33,93,-1,3,93.0,1
33,RECEIVE MESSAGE,34,94,-1,3,95.0,1
34,RECEIVE MESSAGE,35,96,-1,4,96.0,1
35,RECEIVE MESSAGE,36,97,-1,4,97.0,1
36,RECEIVE MESSAGE,37,98,-1,4,99.0,1
37,RECEIVE MESSAGE,38,100,-1,5,102.0,1
38,RECEIVE MESSAGE,39,103,-1,5,103.0,1
39,RECEIVE MESSAGE,40,104,-1,4,105.0,1
40,RECEIVE MESSAGE,41,106,-1,3,109.0,1
41,RECEIVE MESSAGE,42,110,-1,2,112.0,1
42,RECEIVE MESSAGE,43,113,-1,1,113.0,1
43,RECEIVE MESSAGE,44,114,-1,1,116.0,1
44,RECEIVE MESSAGE,45,117,-1,1,128.0,1
45,RECEIVE MESSAGE,46,129,-1,0,131.0,1
46,RECEIVE MESSAGE,47,132,-1,0,137.0,1
47,RECEIVE MESSAGE,48,138,-1,1,141.0,1
48,RECEIVE MESSAGE,49,142,-1,0,143.0,1
49,RECEIVE MESSAGE,50,144,-1,0,149.0,1
50,SENT to 2056,51,150,0,0,,1
51,SENT to 2056,52,151,0,1,,1
52,RECEIVE MESSAGE,53,152,-1,0,156.0,1
53,SENT to 4056,54,157,2,0,,1
54,SENT to 2056,54,157,2,0,,1
55,INTERNAL EVENT,55,158,5,0,,1
56,RECEIVE MESSAGE,56,159,-1,0,166.0,1
57,RECEIVE MESSAGE,57,167,-1,0,169.0,1
58,RECEIVE MESSAGE,58,170,-1,1,171.0,1
59,RECEIVE MESSAGE,59,172,-1,2,172.0,1
60,RECEIVE MESSAGE,60,173,-1,3,174.0,1
61,RECEIVE MESSAGE,61,175,-1,5,175.0,1
62,RECEIVE MESSAGE,62,176,-1,4,177.0,1
63,RECEIVE MESSAGE,63,178,-1,3,179.0,1
64,RECEIVE MESSAGE,64,180,-1,2,180.0,1
65,RECEIVE MESSAGE,65,181,-1,1,181.0,1
66,RECEIVE MESSAGE,66,182,-1,1,182.0,1
67,RECEIVE MESSAGE,67,183,-1,1,195.0,1
68,RECEIVE MESSAGE,68,196,-1,1,199.0,1
69,RECEIVE MESSAGE,69,200,-1,1,203.0,1
70,RECEIVE MESSAGE,70,204,-1,1,206.0,1
71,RECEIVE MESSAGE,71,207,-1,0,209.0,1
72,RECEIVE MESSAGE,72,210,-1,0,214.0,1
73,RECEIVE MESSAGE,73,215,-1,1,216.0,1
74,RECEIVE MESSAGE,74,217,-1,1,217.0,1
75,RECEIVE MESSAGE,75,218,-1,0,220.0,1
76,SENT to 2056,76,221,0,0,,1
77,INTERNAL EVENT,77,222,5,0,,1
78,RECEIVE MESSAGE,78,223,-1,0,232.0,1
79,RECEIVE MESSAGE,79,233,-1,0,236.0,1
80,RECEIVE MESSAGE,80,237,-1,0,237.0,1
81,INTERNAL EVENT,81,238,3,0,,1
82,RECEIVE MESSAGE,82,239,-1,1,242.0,1
83,RECEIVE MESSAGE,83,243,-1,0,244.0,1
84,RECEIVE MESSAGE,84,245,-1,0,249.0,1
85,RECEIVE MESSAGE,85,250,-1,0,241.0,1
86,SENT to 4056,86,251,2,1,,1
87,SENT to 2056,86,251,2,1,,1
88,RECEIVE MESSAGE,87,252,-1,0,258.0,1
89,RECEIVE MESSAGE,88,259,-1,0,261.0,1
90,RECEIVE MESSAGE,89,262,-1,1,264.0,1
91,RECEIVE MESSAGE,90,265,-1,2,265.0,1
92,RECEIVE MESSAGE,91,266,-1,1,266.0,1
93,RECEIVE MESSAGE,92,267,-1,1,267.0,1
94,RECEIVE MESSAGE,93,268,-1,0,273.0,1
95,RECEIVE MESSAGE,94,274,-1,0,280.0,1
96,RECEIVE MESSAGE,95,281,-1,0,281.0,1
97,INTERNAL EVENT,96,282,4,0,,1
98,RECEIVE MESSAGE,97,283,-1,1,288.0,1
99,RECEIVE MESSAGE,98,289,-1,0,289.0,1
100,RECEIVE MESSAGE,99,290,-1,0,295.0,1
101,RECEIVE MESSAGE,100,296,-1,0,297.0,1
102,RECEIVE MESSAGE,101,298,-1,0,300.0,1
103,RECEIVE MESSAGE,102,301,-1,0,303.0,1
104,RECEIVE MESSAGE,103,304,-1,0,306.0,1
105,RECEIVE MESSAGE,104,307,-1,2,307.0,1
106,RECEIVE MESSAGE,105,308,-1,2,309.0,1
107,RECEIVE MESSAGE,106,310,-1,2,310.0,1
108,RECEIVE MESSAGE,107,311,-1,1,311.0,1
109,RECEIVE MESSAGE,108,312,-1,0,314.0,1
110,RECEIVE MESSAGE,109,315,-1,2,323.0,1
111,RECEIVE MESSAGE,110,324,-1,2,324.0,1
112,RECEIVE MESSAGE,111,325,-1,1,325.0,1
113,RECEIVE MESSAGE,112,326,-1,2,328.0,1
114,RECEIVE MESSAGE,113,329,-1,3,332.0,1
115,RECEIVE MESSAGE,114,333,-1,2,334.0,1
116,RECEIVE MESSAGE,115,335,-1,2,335.0,1
117,RECEIVE MESSAGE,116,336,-1,2,337.0,1
118,RECEIVE MESSAGE,117,338,-1,1,341.0,1
119,RECEIVE MESSAGE,118,342,-1,2,344.0,1
120,RECEIVE MESSAGE,119,345,-1,2,351.0,1
121,RECEIVE MESSAGE,120,352,-1,2,352.0,1
122,RECEIVE MESSAGE,121,353,-1,2,353.0,1
123,RECEIVE MESSAGE,122,354,-1,2,356.0,1
124,RECEIVE MESSAGE,123,357,-1,1,359.0,1
125,RECEIVE MESSAGE,124,360,-1,0,362.0,1
126,RECEIVE MESSAGE,125,363,-1,0,372.0,1
127,RECEIVE MESSAGE,126,373,-1,0,375.0,1
128,RECEIVE MESSAGE,127,376,-1,1,376.0,1
129,RECEIVE MESSAGE,128,377,-1,3,377.0,1
